plant code,hari giling,tgl giling,thn giling,kis,kis sd,kis inc,kis inc sd,kes,kes sd,ha tebang tr,ha tebang ts,ha tebang ts ptpn,ha tebang spt,ha tebang total,ton tebang tr,ton tebang ts,ton tebang ts ptpn,ton tebang spt,ton tebang total,ha giling tr,ha giling ts,ha giling ts ptpn,ha giling spt,ha giling total,ton giling tr,ton giling ts,ton giling ts ptpn,ton giling spt,ton giling total,kristal tr,kristal ts,kristal ts ptpn,kristal spt,kristal total,rend tr,rend ts,rend ts ptpn,rend spt,rend total,gula pg total,gula tr bagihasil,gula tr ts ptpn,gula produksi,tetes pg total,tetes tr ts ptpn,tetes tr tr,tetes produksi,tebu terbakar total,jam berhenti a,jam berhenti b,total jb,pol tebu,pol tebu sd,k dlm tetes,k dlm tetes sd,k dlm ampas,k dlm ampas sd,k dlm blotong,k dlm blotong sd,ef ov,ef ov sd,k dlm total,k dlm total sd,ef me,ef me sd,ef bhr,ef bhr sd,ef or,ef or sd,residu,residu rupiah,bba ton,bba rupiah,pln kwh,pln rupiah,icumsa,icumsa sd,bjb,bjb_sd,kadar_air,kadar_air_sd,tetes_brix,tetes_brix_sd,tetes_hk,tetes_hk_sd,tetes_tsai,tetes_tsai_sd,tetes_od,tetes_od_sd,brix,pol,nilainira,analisa trash,analisa trash sd,soc,soc sd,bpp_kapur,bpp_belerang,bpp_asam_phospat,bpp_flokulan,bpp_filter_aid,karung_dipakai,karung_reject,rain
SG01,91,2023-04-19,2023,2317,2317,2317,2317,2991,2991,3,0,5698.06,0,5701.06,0,0,0,0,212360.74,3,0,5698.06,0,5701.06,134.55,0,212226.19,0,212360.74,8.15,0,12264.14,0,12272.29,6.06,0,5.78,0,5.78,4099.68,5.39,8116.52,12221.6,2613.17,6366.79,0,8984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG02,57,2023-03-22,2023,1252,1955,1955,1955,2570,2965,0,0,1946.93,0,1946.93,0,0,0,0,110439.04,0,0,1946.93,0,1946.93,0,0,110439.04,0,110439.04,0,0,6805.21,0,6805.21,0,0,6.16,0,6.16,2279.24,0,4512.76,6792,1449.83,3313.17,0,4763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG03,1,2023-06-14,2023,2093.85,2093.85,2093.85,2093.85,5276.28,5276.28,21.1,0,79.53,0,100.63,2618.68,0,6378.23,0,8996.91,7.08,0,13.7,0,20.78,934.34,0,1159.51,0,2093.85,23.95,0,25.25,0,49.2,2.56,0,2.18,0,2.35,0,0,0,0,0,0,0,0,0,0,11.46,11.46,6.5,6.5,0,0,0.69,0.69,0,0,3.46,3.46,4.15,4.15,89.38,89.38,40.45,40.45,36.15,36.15,0,0,138.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,12.07,10.59,0,0,0,0,0,0,0,0,0,0,0,0
SG03,2,2023-06-15,2023,5206.21,4074.45,5206.21,4074.45,6660.4,6661.65,8.22,0,21.71,0,29.93,1017.71,0,1767.71,0,2785.42,13.22,0,44.34,0,57.56,1642.43,0,3563.78,0,5206.21,71.6,0,136.6,0,208.2,4.36,0,3.83,0,4,0,0,0,0,0,0,0,0,0,0,5.24,5.24,6.52,6.51,0,0,0.63,0.65,0,0,1.89,2.33,2.52,2.98,90.34,90.02,67.91,60.24,61.35,54.22,0,0,141.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71,11.74,10.15,0,0,0,0,0,0,0,0,0,0,0,0
SG03,3,2023-06-16,2023,1143.09,3024.41,1143.09,3024.41,6658.78,6661.26,5.82,0,10.05,0,15.87,660.87,0,785.71,0,1446.58,2.11,0,11.25,0,13.36,243.29,0,899.8,0,1143.09,6.98,0,19.32,0,26.3,2.87,0,2.15,0,2.3,0,0,0,0,0,0,0,0,0,0,19.88,19.88,6.44,6.5,0,0,1.02,0.7,0,0,3.12,2.44,4.14,3.14,84.16,89.23,42.44,57.93,35.71,51.69,3150,0,151.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,10.84,9.12,0,0,0,0,0,0,0,0,0,0,0,0
SG03,4,2023-06-17,2023,0,2226.76,0,2226.76,0,6661.26,10.39,0,22.51,0,32.9,1241.54,0,1685.66,0,2927.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,6.5,0,0,0,0.7,0,0,0,2.44,0,3.14,0,89.23,0,57.93,0,51.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG03,5,2023-06-18,2023,4510.4,2703.35,4510.4,2703.35,6661.51,6661.35,10.34,0,30.88,0,41.22,1205.63,0,2091.21,0,3296.84,15.92,0,41.73,0,57.65,1378.63,0,3131.77,0,4510.4,40.4,0,74.6,0,115,2.93,0,2.38,0,2.55,0,0,0,0,0,0,0,0,29.13,0,7.75,7.75,6.47,6.49,0,0,0.65,0.68,0,0,3.27,2.73,3.92,3.41,89.95,89.52,43.81,53.01,39.41,47.46,3150,0,115.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,11.73,10.28,0,0,0,0,0,0,0,0,0,0,0,0
SG03,6,2023-06-19,2023,4528.27,3018.44,4528.27,3018.44,6659.22,6660.8,10.94,0,29.68,0,40.62,1336.54,0,2074.21,0,3410.75,14.19,0,39.51,0,53.7,1716.22,0,2812.05,0,4528.27,56.11,0,68.39,0,124.5,3.27,0,2.43,0,2.75,0,0,0,0,0,0,0,0,8.86,0,7.68,7.68,6.52,6.5,0,0,0.69,0.68,0.01,0,3.07,2.83,3.77,3.51,89.42,89.54,47.17,51.37,42.18,46,0,0,125.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,11.66,10.16,0,0,0,0,0,0,0,0,0,0,0,0
SG03,7,2023-06-20,2023,3831.58,3138.17,3831.58,3138.17,6658.79,6660.44,35.87,0,31.41,0,67.28,1601.54,0,1894.95,0,3496.49,30.43,0,34.02,0,64.45,1679.4,0,2152.18,0,3831.58,100.92,0,108.38,0,209.3,6.01,0,5.04,0,5.46,0,116.81,125.44,242.25,0,86.11,67.19,153.3,8,0,10.19,10.19,7.4,6.66,1.14,0.21,0.75,0.69,0.01,0,0.04,2.32,1.94,3.22,89.86,89.64,82.11,57.62,73.78,51.65,0,0,107.64,0,0,0,292,292,0,0,0,0,0,0,0,0,0,0,0,0,14.79,11.45,10.11,0,0,0,0,0,0,0,0,0,0,0,0
SG03,8,2023-06-21,2023,3988.77,3247.34,3988.77,3247.34,6661.83,6660.66,11.62,0,20.78,0,32.4,1345.34,0,1766.83,0,3112.17,15.6,0,28.22,0,43.82,1769.79,0,2218.98,0,3988.77,80.38,0,89.12,0,169.5,4.54,0,4.02,0,4.25,0,36.59,40.56,77.15,0,67.64,53.96,121.6,0,0,9.63,9.63,6.24,6.59,0.9,0.31,0.75,0.71,0,0,0.34,2.01,1.99,3.03,87.98,89.23,77.41,60.54,68.11,54.02,3600,0,77.56,0,0,0,280,289,0,0,0,0,0,0,0,0,0,0,0,0,14.84,12.03,10.91,0,0,0,0,0,0,0,0,0,0,0,0
SG03,9,2023-06-22,2023,2008.65,3106.44,2008.65,3106.44,6658.51,6660.5,16.18,0,26.71,0,42.89,1533.11,0,1845.69,0,3378.8,10.62,0,17.45,0,28.07,767.55,0,1241.1,0,2008.65,33.66,0,42.64,0,76.3,4.39,0,3.44,0,3.8,0,7.74,9.81,17.55,0,47.4,29.3,76.7,40.88,0,16.76,16.76,6.2,6.57,1.13,0.37,0.76,0.71,0.26,0.02,0.25,1.89,2.4,2.99,87.74,89.19,69.85,61.09,61.29,54.49,0,0,85.44,0,0,0,298,289,0,0,0,0,0,0,0,0,0,0,0,0,14.38,11.52,10.37,9.24,9.24,0,0,0,0,0,0,0,0,0,0
SG03,10,2023-06-23,2023,6213.06,3423.72,6213.06,3423.72,6659.82,6660.37,12.22,0,23.97,0,36.19,1556.99,0,1704.8,0,3261.79,22.21,0,48.75,0,70.96,2729.72,0,3483.34,0,6213.06,118.66,0,131.14,0,249.8,4.35,0,3.76,0,4.02,0,114.95,127.05,242,0,127.44,99.86,227.3,201.87,0,1.61,1.61,5.8,6.42,1.03,0.5,0.58,0.68,0.01,0.02,0.16,1.56,1.78,2.76,90,89.41,77.01,63.76,69.31,57.01,0,0,96.45,0,0,0,297,293,0,0,0,0,0,0,0,0,0,0,0,0,14.82,12.24,11.2,9.11,9.18,0,0,0,0,0,0,0,0,0,0
SG03,11,2023-06-24,2023,5052.02,3574.6,5052.02,3574.6,6662,6660.59,23.61,0,25.7,0,49.31,1908.89,0,2086.38,0,3995.27,28.66,0,32.05,0,60.71,2504.06,0,2547.96,0,5052.02,108.93,0,95.67,0,204.6,4.35,0,3.75,0,4.05,0,119.79,105.21,225,0,97.33,95.67,193,152.11,0,5.8,5.8,6.22,6.4,1.1,0.58,0.76,0.69,0.09,0.03,0.22,1.39,2.17,2.69,87.78,89.22,74.18,64.97,65.11,57.97,0,0,88.89,0,0,0,273,287,0,0,0,0,0,0,0,0,0,0,0,0,14.29,11.89,10.93,8.59,8.96,0,0,0,0,0,0,0,0,0,0
SG03,12,2023-06-25,2023,1346.66,3385.66,1346.66,3385.66,6650.17,6660.24,11.45,0,21.55,0,33,1365.49,0,1617.37,0,2982.86,5.97,0,9.66,0,15.63,640.63,0,706.03,0,1346.66,28.7,0,25.2,0,53.9,4.48,0,3.57,0,4,0,44.08,38.72,82.8,0,30.15,27.35,57.5,17.87,19.14,0,19.14,6.76,6.41,1.18,0.6,0.66,0.69,0.41,0.04,0.51,1.36,2.76,2.69,90.24,89.24,65.57,65.03,59.17,58.03,0,0,57.66,0,0,0,270,285,0,0,0,0,0,0,0,0,0,0,0,0,14.61,11.45,10.19,8.51,8.84,0,0,0,0,0,0,0,0,0,0
SG03,13,2023-06-26,2023,0,3120.98,0,3120.98,0,6660.24,13.9,0,22.46,0,36.36,1571.05,0,1696.73,0,3267.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,6.41,0,0.6,0,0.69,0,0.04,0,1.36,0,2.69,0,89.24,0,65.03,0,58.03,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,8.79,0,0,0,0,0,0,0,0,0,0
SG03,14,2023-06-27,2023,3220.74,3128.22,3220.74,3128.22,6663.6,6660.49,37.83,0,21.19,0,59.02,1583.19,0,1486.52,0,3069.71,26.2,0,25.8,0,52,1456.4,0,1764.34,0,3220.74,54.6,0,42,0,96.6,3.75,0,2.38,0,3,0,28.46,21.89,50.35,0,64.58,53.32,117.9,28.91,12.4,0,12.4,5.75,6.36,1.06,0.63,1.06,0.72,0.03,0.04,0.6,1.3,2.75,2.69,81.57,88.68,63.97,65.07,52.17,57.7,0,0,83.89,0,0,0,236,282,0,0,0,0,0,0,0,0,0,0,0,0,14.2,12.48,11.79,8.34,8.72,0,0,0,0,0,0,0,0,0,0
SG03,15,2023-06-28,2023,6328.73,3344.59,6328.73,3344.59,6658.9,6660.28,16.94,0,27.78,0,44.72,1843.25,0,2015.01,0,3858.26,39.63,0,41.6,0,81.23,3135.97,0,3192.76,0,6328.73,108.46,0,81.44,0,189.9,3.46,0,2.55,0,3,0,85.73,64.37,150.1,0,121.94,119.76,241.7,218.21,0,1.19,1.19,5.13,6.2,1.1,0.69,0.8,0.73,0.01,0.04,0.22,1.16,2.13,2.62,84.41,88.23,69.28,65.45,58.48,57.74,0,0,75.5,0,0,0,284,283,0,0,0,0,0,0,0,0,0,0,0,0,15.48,12.79,11.71,8.27,8.66,0,0,0,0,0,0,0,0,0,0
SG03,16,2023-06-29,2023,4293.75,3404.69,4293.75,3404.69,6661.28,6660.36,9.72,0,2.6,0,12.32,285.26,0,202.46,0,487.72,24.26,0,30.43,0,54.69,2067.88,0,2225.87,0,4293.75,81.5,0,73.5,0,155,3.94,0,3.3,0,3.61,0,128.3,115.7,244,0,100.15,93.05,193.2,291.94,5.28,3.25,8.53,6.04,6.19,1.33,0.74,0.67,0.73,0.27,0.06,0.16,1.07,2.43,2.6,88.91,88.21,67.23,65.75,59.77,58,0,0,79.5,0,0,0,257,278,0,0,0,0,0,0,0,0,0,0,0,0,16.77,13.03,11.54,7.55,8.63,0,0,0,0,0,0,0,0,0,0
SG03,17,2023-06-30,2023,0,3201.93,0,3201.93,0,6660.36,14.04,0,16.06,0,30.1,1448.77,0,1114.09,0,2562.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,6.19,0,0.74,0,0.73,0,0.05,0,1.08,0,2.6,0,88.21,0,65.75,0,58,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,8.63,0,0,0,0,0,0,0,0,0,0
SG03,18,2023-07-01,2023,0,3021.96,0,3021.96,0,6660.36,19.31,0,24.19,0,43.5,1872.35,0,1829.87,0,3702.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,6.19,0,0.74,0,0.73,0,0.05,0,1.08,0,2.6,0,88.21,0,65.75,0,58,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,8.69,0,0,0,0,0,0,0,0,0,0
SG03,19,2023-07-02,2023,2603.57,2999.7,2603.57,2999.7,6661.59,6660.42,22.19,0,25.77,0,47.96,1308.18,0,1522.64,0,2830.82,27.41,0,19.18,0,46.59,1575.69,0,1027.88,0,2603.57,48.03,0,13.37,0,61.4,3.05,0,1.3,0,2.36,0,0,0,0,0,0,0,0,52.66,14.62,0,14.62,4.03,6.09,0,0.71,0.77,0.73,0.02,0.05,0.88,1.07,1.67,2.56,80.89,88.01,72.39,65.86,58.56,57.96,0,0,60.58,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,17.42,12.9,11.09,9.35,8.75,0,0,0,0,0,0,0,0,0,0
SG03,20,2023-07-03,2023,6338.21,3168.38,6338.21,3168.38,6660.12,6660.39,19.15,0,34.92,0,54.07,2131.59,0,2388.95,0,4520.54,28.85,0,46.75,0,75.6,3061.59,0,3276.62,0,6338.21,167.64,0,149.26,0,316.9,5.48,0,4.56,0,5,0,176.06,156.74,332.8,0,125.16,116.94,242.1,779.9,0,1.16,1.16,7.14,6.2,1.13,0.75,0.78,0.73,0.04,0.05,0.19,0.99,2.14,2.52,89.08,88.23,78.62,67.28,70.03,59.35,0,0,78.84,0,0,0,274,277,0,0,0,0,0,0,0,0,0,0,0,0,16.58,12.74,11.21,8.47,8.72,0,0,0,0,0,0,0,0,0,0
SG03,21,2023-07-04,2023,6158.42,3312.19,6158.42,3312.19,6660.75,6660.42,24.92,0,42.55,0,67.47,2256.17,0,2450.5,0,4706.67,32.47,0,53.81,0,86.28,2968.81,0,3189.61,0,6158.42,159.44,0,148.46,0,307.9,5.37,0,4.65,0,5,0,139.83,130.22,270.05,0,124.71,116.09,240.8,742.41,0,1.81,1.81,7.13,6.28,1.19,0.79,0.63,0.72,0.12,0.06,0.19,0.91,2.13,2.48,91.16,88.54,76.92,68.35,70.13,60.51,0,0,81.74,0,0,0,289,279,0,0,0,0,0,0,0,0,0,0,0,0,16.42,12.81,11.37,9.2,8.76,0,0,0,0,0,0,0,0,0,0
SG03,22,2023-07-05,2023,5908.43,3431.33,5908.43,3431.33,6657.39,6660.18,15.34,0,34.17,0,49.51,1813.94,0,2542.64,0,4356.58,23.33,0,45.45,0,68.78,2423.59,0,3484.84,0,5908.43,137.75,0,157.65,0,295.4,5.68,0,4.52,0,5,40.87,135.26,113.92,290.05,0,147.46,102.54,250,547.08,2.7,0,2.7,7.22,6.35,1.27,0.83,0.77,0.73,0.01,0.05,0.17,0.85,2.22,2.46,89.34,88.5,77.52,69.22,69.25,61.26,0,0,78.84,0,0,0,290,280,0,0,0,0,0,0,0,0,0,0,0,0,16.32,12.87,11.49,8.59,8.76,0,0,0,0,0,0,0,0,0,0
SG03,23,2023-07-06,2023,5487.07,3521.53,5487.07,3521.53,6661.09,6660.24,27.7,0,35.51,0,63.21,2062.98,0,2517.44,0,4580.42,26.89,0,42.65,0,69.54,2448.1,0,3038.97,0,5487.07,139.09,0,135.31,0,274.4,5.68,0,4.45,0,5,34.47,127.51,89.57,251.55,0,179.98,53.22,233.2,597.33,4.23,0,4.23,7.18,6.41,1.27,0.86,0.68,0.73,0.05,0.05,0.18,0.8,2.18,2.44,90.53,88.61,76.92,69.89,69.64,61.93,0,0,75.16,0,0,0,296,282,0,0,0,0,0,0,0,0,0,0,0,0,16.43,12.73,11.25,9.92,8.84,0,0,0,0,0,0,0,0,0,0
SG03,24,2023-07-07,2023,4585.79,3566.26,4585.79,3566.26,6658.13,6660.13,19.52,0,26.39,0,45.91,1743.95,0,2070.3,0,3814.25,23.27,0,31.7,0,54.97,2168.92,0,2416.87,0,4585.79,111.32,0,95.08,0,206.4,5.13,0,3.93,0,4.5,48.5,130.46,62.94,241.9,11.98,105.98,91.14,209.1,798.42,0,7.47,7.47,7.1,6.45,1.37,0.89,0.82,0.73,0.22,0.06,0.19,0.77,2.6,2.45,88.45,88.68,71.66,69.93,63.38,62.02,0,0,49.68,0,0,0,285,282,0,0,0,0,0,0,0,0,0,0,0,0,16.31,12.46,10.92,9.38,8.87,0,0,0,0,0,0,0,0,0,0
SG03,25,2023-07-08,2023,2688.58,3530.86,2688.58,3530.86,6659.02,6660.1,18.58,0,30.44,0,49.02,1981.2,0,2214.71,0,4195.91,14.66,0,17.81,0,32.47,1362.92,0,1325.66,0,2688.58,66.7,0,54.3,0,121,4.89,0,4.1,0,4.5,44.73,99.12,35.95,179.8,38.24,39.77,40.89,118.9,360.2,11.06,3.25,14.31,7.06,6.47,1.34,2.23,0.85,0.73,0.19,0.07,0.18,-0.57,2.56,2.46,87.96,88.72,72.46,69.86,63.74,61.98,0,0,75.48,0,0,0,260,281,0,0,0,0,0,0,0,0,0,0,0,0,16.08,12.56,11.15,9.55,8.91,0,0,0,0,0,0,0,0,0,0
SG03,26,2023-07-09,2023,4176.56,3555.89,4176.56,3555.89,6660.3,6660.1,26.22,0,23.43,0,49.65,1662.04,0,1871.94,0,3533.98,25.69,0,29.11,0,54.8,1963.59,0,2212.97,0,4176.56,97.45,0,90.45,0,187.9,4.96,0,4.09,0,4.5,28.55,95.27,59.88,183.7,91.5,66.39,58.91,216.8,696.7,0,8.95,8.95,7.05,6.49,1.6,0.93,0.74,0.73,0.02,0.06,0.19,0.74,2.55,2.46,89.5,88.75,71.32,69.97,63.83,62.1,0,0,69.68,0,0,0,263,280,0,0,0,0,0,0,0,0,0,0,0,0,15.73,12.25,10.86,9.43,8.94,0,0,0,0,0,0,0,0,0,0
SG03,27,2023-07-10,2023,2105.85,3501.77,2105.85,3501.77,6658.81,6660.08,6.94,0,18.85,0,25.79,748.49,0,1433.54,0,2182.03,9.22,0,16.5,0,25.72,846.02,0,1259.83,0,2105.85,40.5,0,43.7,0,84.2,4.79,0,3.47,0,4,37.05,61.12,28.93,127.1,49.53,37.79,25.38,112.7,482.18,8.91,7.5,16.41,7.05,6.51,1.65,0.95,0.81,0.73,0.38,0.07,0.21,0.73,3.05,2.48,88.51,88.79,64.1,69.72,56.74,61.9,0,0,30,0,0,0,278,280,0,0,0,0,0,0,0,0,0,0,0,0,14.47,10.8,9.34,9.71,8.98,0,0,0,0,0,0,0,0,0,0
SG03,28,2023-07-11,2023,0,3375.77,0,3375.77,0,6660.08,12.26,0,29.33,0,41.59,1410.26,0,2179.44,0,3589.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,6.51,0,0.95,0,0.73,0,0.07,0,0.73,0,2.48,0,88.79,0,69.72,0,61.9,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22,9,0,0,0,0,0,0,0,0,0,0
SG03,29,2023-07-12,2023,1092.42,3296.46,1092.42,3296.46,6671.27,6660.2,35.19,0,28.87,0,64.06,1159.62,0,1834.43,0,2994.05,25.48,0,14.77,0,40.25,245.59,0,846.83,0,1092.42,13.66,0,33.84,0,47.5,5.56,0,4,0,4.35,0,0,0,0,23.53,25.41,7.36,56.3,232.7,18.82,1.25,20.07,7.09,6.51,1.6,0.95,0.8,0.74,0.03,0.07,0.31,0.71,2.74,2.47,88.72,88.63,69.16,70.02,61.35,62.06,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,13.8,10.25,8.83,9.26,9.01,0,0,0,0,0,0,0,0,0,0
