id,company_code,plant_code,hari_giling,tgl_giling,thn_giling,KIS,KIS SD,KIS INCLUSIF,KIS INCLUSIF SD,KES,KES SD,HA TEBANG TR,HA TEBANG TS,HA TEBANG KSO,HA TEBANG SPT,HA TEBANG TOTAL,TON TEBANG TR,TON TEBANG TS,TON TEBANG KSO,TON TEBANG SPT,TON TEBANG TOTAL,HA GILING TR,HA GILING TS,HA GILING KSO,HA GILING SPT,HA GILING TOTAL,TON GILING TR,TON GILING TS,TON GILING KSO,TON GILING SPT,TON GILING TOTAL,KRISTAL TR,KRISTAL TS,KRISTAL KSO,KRISTAL SPT,KRISTAL TOTAL,RENDEMEN TR,RENDEMEN TS,RENDEMEN KSO,RENDEMEN SPT,RENDEMEN TOTAL,GULA MILIK PG,GULA MILIK PETANI,GULA MILIK KSO,GULA PRODUKSI,TETES MILIK PG,TETES MILIK KSO,TETES MILIK PETANI,TETES PRODUKSI,tebu_terbakar_total,beban_pabrik,kristal_taksasi,plus_minus_kristal,JAM BERHENTI A,JAM BERHENTI B,TOTAL JAM BERHENTI,pol_tebu,pol_tebu_sd,k_dlm_tetes,k_dlm_tetes_sd,k_dlm_ampas,k_dlm_ampas_sd,k_dlm_blotong,k_dlm_blotong_sd,ef_ov,ef_ov_sd,k_dlm_total,k_dlm_total_sd,ef_me,ef_me_sd,ef_bhr,ef_bhr_sd,ef_or,ef_or_sd,residu,residu_rupiah,bba_ton,bba_rupiah,pln_kwh,pln_rupiah,icumsa,icumsa_sd,bjb,bjb_sd,kadar_air,kadar_air_sd,tetes_brix,tetes_brix_sd,tetes_hk,tetes_hk_sd,tetes_tsai,tetes_tsai_sd,tetes_od,tetes_od_sd,brix,pol,nilainira,analisa_trash,analisa_trash_sd,soc,soc_sd,bpp_kapur,bpp_belerang,bpp_asam_phospat,bpp_flokulan,bpp_filter_aid,karung_dipakai,karung_reject,rain
7721,SGN,SG01,1,45308,2024,2535.97,2535.97,2535.97,2535.97,3199.96,3199.96,0,0,74.658,0,74.658,0,0,3991.22,0,3991.22,0,0,47.664,0,47.664,0,0,2535.97,0,2535.97,0,0,143.854,0,143.854,0,0,5.672543445,0,5.67,0,0,0,0,0,0,0,0,0,143.79,86.42,-57.37,0,4.98,4.98,8.14,8.14,0,0,0.82,0.82,0.08,0.08,1.57,1.57,2.47,2.47,89.96,89.96,77.48,77.48,69.7,69.7,0,0,180,72000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,10.66,9.14,0,0,0.56,0.56,4360,1400,115,8,0,0,0,1
7722,SGN,SG01,2,45309,2024,2746.24,2641.11,2746.24,2641.11,3199.97,3199.97,0,0,35.673,0,35.673,0,0,1872.79,0,1872.79,0,0,51.694,0,51.694,0,0,2746.24,0,2746.24,0,0,155.13,0,155.13,0,0,5.648814379,0,5.65,0,0,0,0,0,0,0,0,0,298.95,165.85,10.69,3.4034,0,3.403,7.97,8.05,0,0,0.68,0.75,0.08,0.08,1.56,1.56,2.32,2.39,91.45,90.73,77.5,77.49,70.87,70.3,0,0,63,25200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,10.72,9.11,0,0,56,56,4690,1250,105,9,0,0,0,0
7723,SGN,SG01,3,45310,2024,2821.69,2701.3,2821.69,2701.3,3200.1,3200.01,0,0,42.639,0,42.639,0,0,2239.89,0,2239.89,0,0,53.612,0,53.612,0,0,2821.69,0,2821.69,0,0,159.381,0,159.381,0,0,5.648423463,0,5.65,0,0,46,46,0,0,0,0,0,412.52,19.02,-94.54,2.838,0,2.838,7.83,7.97,0,0,0.67,0.72,0.08,0.08,1.43,1.52,2.18,2.32,91.45,90.98,78.89,77.97,72.15,70.93,0,0,0,0,0,0,247,247,0.91,0.91,0.04,0.04,0,0,0,0,0,0,0,0,14.92,10.77,9.11,0,0,56,56,4360,1250,105,8,0,600,320,1
76,SGN,SG01,4,45311,2024,187.92,2072.95,187.92,2072.95,3198.64,3199.98,0,0,44.024,0,44.024,0,0,2262.39,0,2262.39,0,0,3.335,0,3.335,0,0,187.92,0,187.92,0,0,10.613,0,10.613,0,0,5.647616007,0,5.65,0,0,100,100,0,0,0,0,0,323.43,-69.59,19.49,22.5905,0,22.59,7.83,7.97,0,0,0.63,0.72,0.22,0.09,1.33,1.5,2.18,2.31,91.93,91,78.47,77.98,72.13,70.96,0,0,0,0,0,0,245,246,0.89,0.89,0.06,0.05,0,0,0,0,0,0,0,0,14.84,10.76,9.13,0,0,56,56,325,350,15,2,0,2000,0,0
22,SGN,SG01,5,45312,2024,2805.91,2219.55,2805.91,2219.55,3199.44,3199.85,0,0,46.544,0,46.544,0,0,2456.36,0,2456.36,0,0,54.427,0,54.427,0,0,2805.91,0,2805.91,0,0,158.563,0,158.563,0,0,5.651036562,0,5.65,0,0,85,85,0,0,0,0,0,397.22,59.79,-14,1.9525,1,2.952,7.78,7.92,0,0,0.67,0.71,0.09,0.09,1.37,1.47,2.13,2.27,91.42,91.1,79.46,78.35,72.64,71.38,0,0,300,120000000,0,0,248,0,0.9,0.9,0.08,0.08,0,0,0,0,0,0,0,0,14.05,10.53,9.12,0,0,0.56,0.56,4605,1500,105,9,0,1700,0,0
77,SGN,SG01,6,45313,2024,1516.09,2102.3,1516.09,2102.3,3200.19,3199.89,0,0,38.718,0,38.718,0,0,2076.37,0,2076.37,0,0,29,0,29,0,0,1516.09,0,1516.09,0,0,85.055,0,85.055,0,0,5.61015507,0,5.61,0,0,28,28,0,40,0,40,0,454.2,61.6,4.46,0,12.63,12.63,7.62,7.89,0.77,0.09,0.66,0.7,0.04,0.08,0.54,1.37,2.01,2.24,91.31,91.12,80.62,78.61,73.61,71.64,0,0,0,0,0,0,248,247,0.88,0.89,0.05,0.06,81,81,35.81,35.81,53.52,53.52,0,0,14.71,10.66,9.04,0,0,56,56,2805,1350,75,6,0,560,0,1
33,SGN,SG01,7,45314,2024,3121.62,2247.92,3121.62,2247.92,3200.29,3199.97,0,0,46.612,0,46.612,0,0,2540.46,0,2540.46,0,0,57.761,0,57.761,0,0,3121.62,0,3121.62,0,0,175.129,0,175.129,0,0,5.610195988,0,5.61,0,0,166,166,0,92,0,92,0,453.72,9.76,0.64,0.59,0,0.59,7.61,7.83,0.81,0.24,0.67,0.69,0.1,0.09,0.42,1.17,2,2.19,91.16,91.13,80.83,79.04,73.68,72.03,0,0,0,0,0,0,240,244,0.89,0.89,0.03,0.05,81,81,33.9,34.48,54.43,54.15,0,0,14.71,10.66,9.04,0,0,56,56,5040,1250,105,9,0,3320,0,1
47,SGN,SG01,8,45315,2024,3274.75,2376.27,3274.75,2376.27,3274.75,3212.61,0,0,57.124,0,57.124,0,0,2958.6,0,2958.6,0,0,61.475,0,61.475,0,0,3274.75,0,3274.75,0,0,183.709,0,183.709,0,0,5.609863348,0,5.61,0,0,184,184,0,116,0,116,0,464.24,58.53,58.27,0,0,0,7.61,7.79,0.97,0.36,0.71,0.7,0.12,0.09,0.2,1,2,2.15,90.71,91.06,81.25,79.41,73.7,72.31,0,0,0,0,0,0,242,243,0.86,0.88,0.07,0.06,81.25,81.12,33.77,34.15,55.6,54.83,0,0,14.79,10.69,9.05,0,0,56,0,5220,1350,105,9,0,3680,0,0
78,SGN,SG01,9,45316,2024,3207.69,2468.65,3207.69,2468.65,3207.69,3211.89,0,0,61.681,0,61.681,0,0,3041.77,0,3041.77,0,0,63.763,0,63.763,0,0,3207.69,0,3207.69,0,0,179.928,0,179.928,0,0,5.609270222,0,5.61,0,0,185,185,0,120,0,120,0,459.74,45.12,49.62,0,0,0,7.61,7.77,1.06,0.46,0.69,0.7,0.13,0.1,0.12,0.88,2,2.14,90.95,91.05,81.07,79.64,73.74,72.51,0,0,0,0,0,0,242,243,0.88,0.88,0.06,0.06,84.26,82.14,33.75,34.02,55.8,55.15,0,0,14.88,10.72,9.06,0,0,56,56,5180,1150,105,9,0,3700,0,1
49,SGN,SG01,10,45317,2024,3203.93,2542.18,3203.93,2542.18,3203.93,3210.89,0,0,56.083,0,56.083,0,0,2585.57,0,2585.57,0,0,67.196,0,67.196,0,0,3203.93,0,3203.93,0,0,179.721,0,179.721,0,0,5.609392215,0,5.61,27.829,0,157.171,185,0,120,0,120,0,455.04,-58.39,-53.68,0,0,0,7.61,7.75,1.08,0.54,0.69,0.69,0.11,0.1,0.12,0.79,2,2.12,90.94,91.03,81.09,79.82,73.74,72.67,0,0,0,0,0,0,240,243,0.89,0.88,0.05,0.06,85.24,82.9,33.96,34,52.3,54.45,0,0,14.88,10.72,9.06,0,0,56,56,5225,1300,105,9,0,3700,0,0
50,SGN,SG01,11,45318,2024,2771.2,2563,2771.2,2563,3199.08,3209.72,0,0,56.304,0,56.304,0,0,2651.54,0,2651.54,0,0,60.851,0,60.851,0,0,2771.2,0,2771.2,0,0,156.033,0,156.033,0,0,5.630521074,0,5.63,71.37,0,103.63,175,0,104,0,104,0,436.58,-49.58,-31.12,3.21,0,3.21,7.64,7.74,1.07,0.59,0.69,0.69,0.12,0.1,0.13,0.73,2.01,2.11,90.94,91.02,81.06,79.94,73.71,72.77,0,0,0,0,0,0,238,242,0.9,0.89,0.02,0.05,82.19,82.78,34.55,34.1,52.5,54.1,0,0,14.93,10.75,9.08,0,0,56,56,4935,1050,88,9,0,3500,0,0
